Sentence,class,file
Nat Genet 2006; 38:1440-5; PMID:17099714; http://dx.doi.org/ 10.1038/ng1915 65.,OADS,/arxiv_data1/oa_pdf/15/2e/spmg-2-11.PMC3341242.pdf
Semin Cell Dev Biol 1998; 9:411-6; PMID:9813187; http://dx.doi.org/10.1006/scdb.1998.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Dev Biol 1977; 55:347-58; PMID:838124; http://dx.doi.org/10.1016/0012-1606(77)90178-6 21.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Mol Cell Endocrinol 2011; 335:60-8; PMID:20363290; http://dx.doi.org/10.1016/j.mce.2010.03.022 23.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Biol Reprod 2012; 86:1-14; PMID:21900683; http://dx.doi.org/10.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Biol Reprod 2005; 72: 1224-31; PMID:15659703; http://dx.doi.org/10.1095/ biolreprod.104.038315 25.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Diabetes 1997; 46:317-22; PMID: 9000711; http://dx.doi.org/10.2337/diabetes.46.2.317 27.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Transplantation 2003; 75: 1594-6; PMID:12792521; http://dx.doi.org/10.1097/ 01.TP.0000058748.00707.88 28.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Transplantation 2011; 92: 1309-15; PMID:22037619; http://dx.doi.org/10.1097/ TP.0b013e3182384ab0 29.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Transplantation 1999; 67:815-20; PMID:10199728; http://dx.doi.org/10.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
AAPS PharmSciTech 2001; 2:E15; PMID: 14727874; http://dx.doi.org/10.1208/pt020315 31.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Transpl Int 2005; 18:1001-9; PMID:16008752; http://dx.doi.org/10.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Brain Res 1999; 822:246-50; PMID:10082904; http://dx.doi.org/10.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Xenotransplantation 2007; 14:619-26; PMID:17991150; http://dx.doi.org/ 10.1111/j.1399-3089.2007.00435.x 35.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Cell Transplant 2006; 15:45-53; PMID:16700329; http://dx.doi.org/10.3727/000000006783982205 36.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
J Heart Lung Transplant 2009; 28:72-8; PMID:19134534; http://dx.doi.org/10.1016/j.healun.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Immunol Invest 2003; 32:275-97; PMID:14603995; http://dx.doi.org/10.1081/IMM-120025106 39.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Transplantation 2003; 75:613-8; PMID:12640298; http://dx.doi.org/10.1097/01.TP.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Biol Reprod 2002; 66: 21-8; PMID:11751259; http://dx.doi.org/10.1095/ biolreprod66.1.21 41.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Reprod Domest Anim 2006; 41:124-8; PMID: 16519717; http://dx.doi.org/10.1111/j.1439-0531.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Biol Reprod 2003; 69:1260-4; PMID:12801978; http://dx.doi.org/10.1095/biolreprod.103.018788 44.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Reproduction 2006; 132:617- 24; PMID:17008473; http://dx.doi.org/10.1530/rep.1.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Reproduction 2008; 136:823-31; PMID:18768666; http://dx.doi.org/10.1530/REP-08-0226 46.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Reprod Domest Anim 2009; 44:612-20; PMID:18694428; http://dx.doi.org/10.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Biol Reprod 2009; 81:898-905; PMID:19571259; http://dx.doi.org/10.1095/biolreprod.109.078279 48.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Tissue Cell 1999; 31:461-72; PMID:10612257; http://dx.doi.org/10.1054/tice.1999.0060 49.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Biol Reprod 2003; 68:167-73; PMID:12493709; http://dx.doi.org/10.1095/biolreprod.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Eur J Endocrinol 2005; 153:419-27; PMID:16131605; http://dx.doi.org/10.1530/eje.1.01982 54.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Nat Med 2002; 8:1047; PMID: 12357221; http://dx.doi.org/10.1038/nm1002-1047 55.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Xenotransplantation 2003; 10:577-86; PMID:14708526; http://dx.doi.org/ 10.1034/j.1399-3089.2003.00059.x 57.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Exp Neurol 1997; 146:299-304; PMID:9270038; http://dx.doi.org/10.1006/exnr.1997.6493 58.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Transplantation 2009; 88:339-45; PMID:19667935; http://dx.doi.org/10.1097/ TP.0b013e3181ae5dcf 59.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Nat Rev Genet 2003; 4:346-58; PMID:12728277; http://dx.doi.org/10.1038/nrg106660.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Nat Rev Genet 2000; 1:91-9; PMID: 11253666; http://dx.doi.org/10.1038/35038533 61.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Gene Ther 2010; 17:295- 304; PMID:19907498; http://dx.doi.org/10.1038/gt.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Nat Med 2006; 12:342-7; PMID:16474400; http://dx.doi.org/10.1038/nm1358 64.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
J Gene Med 2007; 9:362-8; PMID:17380490; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Mol Ther 2010; 18:143-50; PMID:19724265; http://dx.doi.org/ 10.1038/mt.2009.190 66.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
N Engl J Med 2003; 348:255-6; PMID:12529469; http://dx.doi.org/ 10.1056/NEJM200301163480314 67.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Gene Ther 2009; 16:1285-91; PMID:19776764; http://dx.doi.org/10.1038/gt.2009.127 68.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Science 2011; 334:29-30; PMID: 21980087; http://dx.doi.org/10.1126/science.334.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Science 2003; 300:1749-51; PMID: 12805549; http://dx.doi.org/10.1126/science.1083413 70.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
PLoS Pathog 2006; 2:e60; PMID:16789841; http://dx.doi.org/10.1371/journal.ppat.0020060 71.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Curr Opin Allergy Clin Immunol 2011; 11:545-50; PMID:21971332; http://dx.doi.org/ 10.1097/ACI.0b013e32834c230c 72.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Mol Ther 2011; 19:28-35; PMID:21045810; http://dx.doi.org/ 10.1038/mt.2010.232 73.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Mol Ther 2009; 17:844-50; PMID:19259065; http://dx.doi.org/ 10.1038/mt.2009.16 76.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Science 2009; 326:818-23; PMID: 19892975; http://dx.doi.org/10.1126/science.1171242 77.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Mol Ther 2009; 17:1305-6; PMID: 19644491; http://dx.doi.org/10.1038/mt.2009.162 78.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Science 2009; 326:1468-9; PMID:20007873; http://dx.doi.org/10.1126/science.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Cancer Lett 2011; 305: 8-20; PMID:21396770; http://dx.doi.org/10.1016/j.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Gene Ther 2010; 17:692-708; PMID: 20220785; http://dx.doi.org/10.1038/gt.2010.10 81.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Adv Drug Deliv Rev 2010; 62:1156-66; PMID:20828588; http://dx.doi.org/10.1016/j.addr.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Hum Gene Ther 1997; 8:1417-27; PMID:9287142; http://dx.doi.org/10.1089/hum.1997.8.12-1417 83.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Mol Endocrinol 1992; 6:1403-11; PMID:1331774; http://dx.doi.org/10.1210/me.6.9.1403 86.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Curr Opin Pharmacol 2006; 6:598-605; PMID:16987706; http://dx.doi.org/ 10.1016/j.coph.2006.08.003 87.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Hum Gene Ther 1996; 7: 1261-80; PMID:8793551; http://dx.doi.org/10.1089/ hum.1996.7.10-1261 89.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
"Nevertheless, the role of such junctions (also adherens*Correspondence to: Richard Ivell; Email: ivell@fbn-dummerstorf.de Submitted: 12/21/11; Revised: 01/16/12; Accepted: 01/17/12 http://dx.doi.org/10.4161/spmg.2.1.19383REVIEW Spermatogenesis 2:1, 1 –12; January/February/March 2012; G2012 Landes Bioscience www.landesbioscience.com Spermatogenesis 1",Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Theriogenology 2007; 67:6-15; PMID:17092551; http://dx.doi.org/ 10.1016/j.theriogenology.2006.09.027 2.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Nature 2011; 471: 504-7; PMID:21430778; http://dx.doi.org/10.1038/ nature098504.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Reproduction 2005; 130:15-28; PMID: 15985628; http://dx.doi.org/10.1530/rep.1.00358 6.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Horm Res 2006; 66:153-61; PMID: 16804315; http://dx.doi.org/10.1159/0000941427.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
J Exp Zool 1988; 246: 65-70; PMID:3290387; http://dx.doi.org/10.1002/ jez.1402460109 10.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Exp Cell Res 1991; 194:90-4; PMID: 1901796; http://dx.doi.org/10.1016/0014-4827(91) 90134-G 11.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Biol Reprod 2002; 66: 14-20; PMID:11751258; http://dx.doi.org/10.1095/ biolreprod66.1.14 12.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
J Exp Zool 1995; 272:363-73; PMID:7673874; http://dx.doi.org/10.1002/jez.1402720506 13.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
J Exp Zool 1995; 272:374-83; PMID:7673875; http://dx.doi.org/10.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Zoolog Sci 2004; 21:691-704; PMID:15277712; http://dx.doi.org/10.2108/zsj.21.691 15.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Dev Growth Differ 1997; 39:337-44; PMID:9227900; http://dx.doi.org/10.1046/j.1440- 169X.1997.t01-2-00009.x 17.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Zoolog Sci 2002; 19:321-9; PMID:12125930; http://dx.doi.org/ 10.2108/zsj.19.321 18.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Hum Reprod 1998; 13:634-8; PMID:9572425; http://dx.doi.org/10.1093/humrep/ 13.3.634 20.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Andrologia 2004; 36:269-76; PMID:15458544; http://dx.doi.org/10.1111/j.1439-0272.2004.00617.x 21.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
J Cell Biol 1984; 98: 619-28; PMID:6363426; http://dx.doi.org/10.1083/ jcb.98.2.619 22.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Hum Reprod 1999; 14:2808-11; PMID:10548627; http://dx.doi.org/10.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Biol Reprod 1999; 61:225-30; PMID:10377053; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Reproduction 2002; 124:791-9; PMID: 12530917; http://dx.doi.org/10.1530/rep.0.1240791 27.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Science 2010; 328:62-7; PMID:20299552; http://dx.doi.org/10.1126/science.1182868 30.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Proc Natl Acad Sci U S A 2004; 101:16489-94; PMID:15520394; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Biol Reprod 2005; 72:985-91; PMID: 15601913; http://dx.doi.org/10.1095/biolreprod.104.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Nat Cell Biol 2009; 11:190-6; PMID:19098901; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Dev Biol 2004; 274:158-70; PMID:15355795; http://dx.doi.org/10.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Biol Reprod 2010; 82:363-72; PMID: 19846602; http://dx.doi.org/10.1095/biolreprod.109.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Endocrinology 1999; 140:5894-900; PMID: 10579355; http://dx.doi.org/10.1210/en.140.12.5894 37.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Reproduction 2006; 131: 489-99; PMID:16514192; http://dx.doi.org/10.1530/ rep.1.0096838.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Exp Cell Res 1999; 252:175-85; PMID:10502410; http://dx.doi.org/10.1006/excr.1999.4630 40.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Biol Reprod 2006; 74:945-53; PMID:16467492; http://dx.doi.org/10.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Methods Mol Biol 2009; 558:279-97; PMID: 19685331; http://dx.doi.org/10.1007/978-1-60761- 103-5_17 44.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
J Clin Endocrinol Metab 1997; 82:2314-21; PMID: 9215313; http://dx.doi.org/10.1210/jc.82.7.2314 48.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
J Clin Endo- crinol Metab 1998; 83:4467-73; PMID:9851795; http://dx.doi.org/10.1210/jc.83.12.4467 49.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Endocrinology 1997; 138:1259-66; PMID: 9048634; http://dx.doi.org/10.1210/en.138.3.1259 50.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Reproduction 2007; 133:1169-79; PMID:17636171; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Endocrinology 2005; 146:2674-83; PMID:15761038; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Proc Natl Acad Sci U S A 2004; 101:1327-32; PMID:14745012; http://dx.doi.org/10.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
J Cell Biol 1985; 101:1511-22; PMID:4044644; http://dx.doi.org/10.1083/jcb.101.4.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Biochem Biophys Res Commun 1991; 179: 1115-21; PMID:1898392; http://dx.doi.org/10.1016/ 0006-291X(91)91935-6 57.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Dev Dyn 1992; 193:49-57; PMID:1540705; http://dx.doi.org/10.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Biol Reprod 2003; 69: 169-76; PMID:12620938; http://dx.doi.org/10.1095/ biolreprod.102.015099 59.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Biol Reprod 2001; 65:873-8; PMID:11514353; http://dx.doi.org/10.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Hum Reprod 2006; 21:471-6; PMID: 16210386; http://dx.doi.org/10.1093/humrep/dei319 61.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Hum Reprod 2002; 17:161-72; PMID:11756382; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Biol Reprod 2008; 79:962-75; PMID: 18667755; http://dx.doi.org/10.1095/biolreprod.107.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Mol Cell Endocrinol 1975; 3:57-70; PMID:168104; http://dx.doi.org/10.1016/0303-7207 (75)90031-3 64.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Biol Reprod 1986; 34:195-206; PMID: 3955136; http://dx.doi.org/10.1095/biolreprod34.1.19565.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Exp Cell Res 1996; 225:411-21; PMID: 8660930; http://dx.doi.org/10.1006/excr.1996.0192 67.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Endocrinology 2005; 146:5304-12; PMID:16166216; http://dx.doi.org/10.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Asian J Androl 2007; 9:312-20; PMID:17486271; http://dx.doi.org/10.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Cell 1993; 75:997-1006; PMID:7504588; http://dx.doi.org/10.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Cell Tissue Res 2004; 315: 249-57; PMID:14652734; http://dx.doi.org/10.1007/ s00441-003-0834-x 71.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Fertil Steril 2003; 79(Suppl 1):795-801; PMID:12620493; http://dx.doi.org/10.1016/S0015- 0282(02)04833-1 72.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Hum Reprod 1999; 14:1287-93; PMID: 10325279; http://dx.doi.org/10.1093/humrep/14.5.1287 73.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Hum Reprod 2001; 16:1938- 44; PMID:11527901; http://dx.doi.org/10.1093/ humrep/16.9.1938 74.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Nature 1991; 353:750-2; PMID: 1719421; http://dx.doi.org/10.1038/353750a0 75.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
J Cell Sci 2011; 124:2357- 66; PMID:21693582; http://dx.doi.org/10.1242/jcs.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Biol Reprod 2004; 71:942-7; PMID:15151932; http://dx.doi.org/10.1095/biolreprod.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Biol Reprod 2003; 68:2207-14; PMID:12606373; http://dx.doi.org/10.1095/biolreprod.102.014050 78.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Hum Reprod 2011; 26:2598-605; PMID:21771775; http://dx.doi.org/10.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Ann N Y Acad Sci 1984; 438:515-8; PMID:6598338; http://dx.doi.org/10.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
J Histochem Cytochem 1986; 34:1029-35; PMID: 3734416; http://dx.doi.org/10.1177/34.8.3734416 82.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Biol Reprod 1998; 59:379-87; PMID:9687311; http://dx.doi.org/ 10.1095/biolreprod59.2.379 83.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
Reprod Biol Endocrinol 2009; 7:67; PMID: 19563643; http://dx.doi.org/10.1186/1477-7827-7-67 84.,Non-OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
J Reprod Fertil 1979; 56:99-104; PMID:38338; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/a3/4f/spmg-2-32.PMC3341244.pdf
