Sentence,class,file
Immunity 2009; 31:527-8; PMID:19833080; http://dx.doi.org/10.1016/j.immu- ni.2009.09.007.213.,OADS,/arxiv_data1/oa_pdf/12/2c/onci-1-1557.PMC3525611.pdf
"1,5 CARs have  been generated against a large number of cell surface molecules,4  including CD19, HER2, GD2, prostate-specific membrane anti - gen (PSMA) and mesothelin, and many of them are presently  *Correspondence to: Michel Sadelain; Email: m-sadelain@ski.mskcc.org Submitted: 08/30/12; Revised: 10/10/12; Accepted: 10/11/12http://dx.doi.org/10.4161/onci.22524Second-generation chimeric antigen receptors (CARs) are  powerful tools to redirect antigen-specific T cells independently of HLA-restriction.",Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Cancer Cell 2003; 3:431-7; PMID:12781360;  http://dx.doi.org/10.1016/S1535-6108(03)00113-2.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Curr Opin Immunol 2010; 22:251-7;  PMID:20171074; http://dx.doi.org/10.1016/j.,OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Curr  Opin Immunol 2009; 21:215-23; PMID:19327974; http://dx.doi.org/10.1016/j.coi.2009.02.009.,OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Nat Biotechnol 2002; 20:70-5; PMID:11753365;  http://dx.doi.org/10.1038/nbt0102-70.,OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Blood 2010; 116:4099-102;  PMID:20668228; http://dx.doi.org/10.1182/blood- 2010-04-281931.7.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Sci T ransl  Med 2011; 3:95ra73; PMID:21832238; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
N Engl J Med 2011; 365:725- 33; PMID:21830940; http://dx.doi.org/10.1056/ NEJMoa1103849.,OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Blood 2011; 118:4817-28;  PMID:21849486; http://dx.doi.org/10.1182/blood- 2011-04-348540.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Blood 2009; 114:2888-99;  PMID:19589923; http://dx.doi.org/10.1182/blood- 2009-01-199216.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Blood  2012; 119:4133-41; PMID:22354001; http://dx.doi.org/10.1182/blood-2011-12-400044.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Blood 2010; 116:3875-86;  PMID:20631379; http://dx.doi.org/10.1182/blood- 2010-01-265041.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
J Immunol 2010; 184:1885-96; PMID:20089697;  http://dx.doi.org/10.4049/jimmunol.0901440.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
J Clin Oncol 2008; 26:5233-9; PMID:18809613; http://dx.doi.org/10.1200/JCO.2008.16.5449.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
J Clin Oncol 2006; 24:1575- 81; PMID:16520464; http://dx.doi.org/10.1200/ JCO.2005.04.3836.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Br J Haematol 2011; 153:351-7; PMID:21371003;  http://dx.doi.org/10.1111/j.1365-2141.2011.08597.x.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Br J Haematol 2012; In Press;  PMID:22224845; http://dx.doi.org/10.1111/j.1365- 2141.2011.09000.x.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Immunol Cell  Biol 1991; 69:411-22; PMID:1725979; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Neoplasia 1999; 1:123-7; PMID:10933046;  http://dx.doi.org/10.1038/sj.neo.7900018.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Mol Ther 2010; 18:413-20; PMID:19773745; http://dx.doi.org/10.1038/mt.2009.210.,OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Proc Natl Acad Sci U S A 2009; 106:3360- 5; PMID:19211796; http://dx.doi.org/10.1073/ pnas.0813101106.,OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Blood 2012; 119:696-706; PMID:22117050;  http://dx.doi.org/10.1182/blood-2011-03-344275.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Hum Gene  Ther 2010; 21:75-86; PMID:19719389; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Mol Ther 2005; 12:933-41; PMID:15979412; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Nat Med  2007; 13:1440-9; PMID:18026115; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Hum Gene Ther 2007; 18:712-25; PMID:17685852;  http://dx.doi.org/10.1089/hum.2007.028.,OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
J Immunol 2009; 183:5563-74; PMID:19843940; http://dx.doi.org/10.4049/jimmu- nol.0900447.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Leukemia  2004; 18:676-84; PMID:14961035; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Blood 2012; 119:3940-50;  PMID:22308288; http://dx.doi.org/10.1182/blood- 2011-10-387969.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Sci T ransl Med 2012; 4:132ra53; PMID:22553251; http://dx.doi.org/10.1126/scitrans- lmed.3003761.10.,OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Immunity 1996; 5:527-35;  PMID:8986713; http://dx.doi.org/10.1016/S1074- 7613(00)80268-X.,OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
J Exp Med  1993; 178:951-60; PMID:8350062; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Nat Med 2003; 9:279-86; PMID:12579196; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Clin Cancer Res 2007; 13:5426-35; PMID:17855649;  http://dx.doi.org/10.1158/1078-0432.CCR-07-0674.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Mol Ther 2009; 17:1453-64; PMID:19384291;  http://dx.doi.org/10.1038/mt.2009.83.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Cancer  Res 2006; 66:10995-1004; PMID:17108138; http://dx.doi.org/10.1158/0008-5472.CAN-06-0160.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Blood  2003; 101:1637-44; PMID:12393484; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Mol  Ther 2011; 19:432-8; PMID:21358705; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
Biol Blood Marrow T ransplant 2010; 16:1245-56;  PMID:20304086; http://dx.doi.org/10.1016/j.,OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
J Clin Invest 2011; 121:1822-6; PMID:21540550; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
J Exp Med 1995; 181:1653- 9; PMID:7722445; http://dx.doi.org/10.1084/ jem.181.5.1653.,Non-OADS,/arxiv_data1/oa_pdf/4e/b8/onci-1-1577.PMC3525612.pdf
"The topical or intratumoral administration of DC-activating agents—including interferon α (IFN α), bacillus Calmette-Guérin (BCG), or puri - fied Toll-like receptor (TLR) ligands such as imiquimod—are  *Correspondence to: Edith M. Janssen; Email: edith.janssen@cchmc.org Submitted: 09/12/12; Revised: 10/24/12; Accepted: 10/24/12http://dx.doi.org/10.4161/onci.22660The infiltration of melanoma lesions by dendritic cells (DCs) has  been suggested to play a tumorigenic role due to the capacity of DCs to induce tumor tolerance and promote angiogenesis as  well as metastasis.",Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Immunotherapy  2011; 3:653-71; PMID:21554094; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
J Am Acad Dermatol 2011; 64:413- 22; PMID:20334952; http://dx.doi.org/10.1016/j.,OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Immunotherapy 2011; 3:673-90; PMID:21554095;  http://dx.doi.org/10.2217/imt.11.45.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Clin Cancer Res 2008; 14:4532-42;  PMID:18628468; http://dx.doi.org/10.1158/1078-0432.CCR-07-4711.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
"CA Cancer J Clin 2000; 50:215-36, quiz 237-40; PMID:10986965; http://dx.doi.org/10.3322/ canjclin.50.4.215.",OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
J  Exp Med 1999; 189:1981-6; PMID:10377194; http://dx.doi.org/10.1084/jem.189.12.1981.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Blood 2002; 100:3175-82;  PMID:12384415; http://dx.doi.org/10.1182/blood- 2001-12-0207.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Clin Cancer Res  2009; 15:3277-86; PMID:19447870; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Nature 2010; 466:133-7; PMID:20596026;  http://dx.doi.org/10.1038/nature09161.,OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Oncoimmunology  2012; 1:539-40; PMID:22754779; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Int J Dermatol  1975; 14:3-11; PMID:1092622; http://dx.doi.org/10.1111/j.1365-4362.1975.tb00071.x.,OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Pigment Cell Melanoma Res  2010; 23:853-9; PMID:20973935; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Chin J Cancer 2011; 30:153-62; PMID:21352692;  http://dx.doi.org/10.5732/cjc.011.10007.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Immunol Rev 2010; 234:45-54;  PMID:20193011; http://dx.doi.org/10.1111/j.0105- 2896.2009.00879.x.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Immunol Rev 2010; 234:5-17;  PMID:20193008; http://dx.doi.org/10.1111/j.0105- 2896.2009.00888.x.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Immunol Rev 2010; 234:55-75;  PMID:20193012; http://dx.doi.org/10.1111/j.0105- 2896.2009.00885.x.23.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Immunol Rev 2011; 241:206-27; PMID:21488899; http://dx.doi.org/10.1111/ j.1600-065X.2011.01015.x.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Immunol Rev 2010; 234:317-34; PMID:20193028; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Nature 1998; 392:245-52; PMID:9521319; http://dx.doi.org/10.1038/32588.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Cancer Immunol  Immunother 2007; 56:1459-69; PMID:17279413;  http://dx.doi.org/10.1007/s00262-007-0286-3.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Cancer Res 2004; 64:2192-8; PMID:15026362;  http://dx.doi.org/10.1158/0008-5472.CAN-03-2969.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Cancer Res 2011; 71:5601-5; PMID:21846822; http://dx.doi.org/10.1158/0008-5472.CAN-11-1316.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Cancer Res 2012; 72:1070-80;  PMID:22266112; http://dx.doi.org/10.1158/0008- 5472.CAN-11-3218.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Cancer 2012; 118:2476- 85; PMID:21953023; http://dx.doi.org/10.1002/ cncr.26511.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
J Exp Med  2010; 207:1261-71; PMID:20479117; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Contact Dermatitis 2009; 60:2-20; PMID:19125717;  http://dx.doi.org/10.1111/j.1600-0536.2008.01443.x.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Annu Rev Immunol 2012; 30:491-529;  PMID:22224766; http://dx.doi.org/10.1146/annurev-immunol-031210-101352.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
J  Pathol 2003; 200:255-68; PMID:12754747; http://dx.doi.org/10.1002/path.1344.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
PLoS  One 2011; 6:e17515; PMID:21390236; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Clin Cancer Res 2009; 15:4382-90; PMID:19549770; http://dx.doi.org/10.1158/1078- 0432.CCR-09-0399.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
J Immunol 2009; 182:2726-37;  PMID:19234167; http://dx.doi.org/10.4049/jimmu- nol.0803479.47.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
J Immunol 2010; 185:1999-2003;  PMID:20644171; http://dx.doi.org/10.4049/jimmu- nol.1001398.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
J Immunol 2010; 185:3337-47; PMID:20720209;  http://dx.doi.org/10.4049/jimmunol.1001619.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
J Immunol 2009; 182:4200-7; PMID:19299718; http://dx.doi.org/10.4049/jim- munol.0802286.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Immunol Rev 2010; 234:259-67; PMID:20193024; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
J Exp Med  2009; 206:3115-30; PMID:20008528; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Immunol Rev 2010; 234:120-41;  PMID:20193016; http://dx.doi.org/10.1111/j.0105- 2896.2009.00886.x.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
T rends Immunol 2010; 31:446- 51; PMID:21035396; http://dx.doi.org/10.1016/j.,OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
J Exp Med 2010; 207:189-206; PMID:20038600;  http://dx.doi.org/10.1084/jem.20091964.,OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Nat Immunol 2009; 10:488-95; PMID:19349986; http://dx.doi.org/10.1038/ni.1724.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Eur J Immunol  2001; 31:3388-93; PMID:11745357; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Immunity  2007; 27:481-92; PMID:17869134; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
J Exp Med 2010; 207:1283-92; PMID:20479118; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Immunol Cell Biol 2005; 83:451-61;  PMID:16174093; http://dx.doi.org/10.1111/j.1440- 1711.2005.01371.x.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Immunol Res 2010; 46:165-76;  PMID:19756409; http://dx.doi.org/10.1007/s12026- 009-8118-5.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
J Oncol 2010;  2010:201026; PMID:20490273; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Br J Cancer 2005; 92:1182- 7; PMID:15785750; http://dx.doi.org/10.1038/sj.bjc.6602476.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Scand J Immunol 2007; 65:329-35; PMID:17386023;  http://dx.doi.org/10.1111/j.1365-3083.2007.01903.x.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Immunol Rev  2010; 234:177-98; PMID:20193019; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Mol Immunol 2010; 47:1765-73; PMID:20347150; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
J Exp Med 2012; 209:1053-6; PMID:22665701; http://dx.doi.org/10.1084/ jem.20121038.,OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Eur J Immunol 2003; 33:827- 33; PMID:12672047; http://dx.doi.org/10.1002/ eji.200323797.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Immunity  2008; 29:352-61; PMID:18799143; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Immunol Rev 2010; 234:18-31; PMID:20193009;  http://dx.doi.org/10.1111/j.0105-2896.2009.00870.x.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Nat Rev Drug Discov 2012; 11:503-5; PMID:22743965;  http://dx.doi.org/10.1038/nrd3775.,OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Nat Mater 2009; 8:151-8;  PMID:19136947; http://dx.doi.org/10.1038/ nmat2357.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Sci T ransl Med 2009; 1:8ra19;  PMID:20368186; http://dx.doi.org/10.1126/scitrans- lmed.3000359.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Eur J Immunol 2003; 33:1052-62; PMID:12672071;  http://dx.doi.org/10.1002/eji.200323676.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
J Invest Dermatol 2010; 130:1646-56; PMID:20220766; http://dx.doi.org/10.1038/ jid.2010.24.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
OncoImmunology 2012;  1:829-39; http://dx.doi.org/10.4161/onci.20492.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Cancer Res  2010; 70:5549-57; PMID:20516123; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Oncogene 1998; 17:1885- 8; PMID:9778055; http://dx.doi.org/10.1038/ sj.onc.1202077.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Cancer Metastasis  Rev 2006; 25:333-56; PMID:17029028; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Biochem J 2008; 409:635- 49; PMID:18177271; http://dx.doi.org/10.1042/ BJ20071493.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Semin Cancer Biol  2012; 22:319-26; PMID:22349515; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Nat Med 2010; 16:880- 6; PMID:20622859; http://dx.doi.org/10.1038/nm.2172.,OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Nat Med 2010; 16:98- 105; PMID:20037595; http://dx.doi.org/10.1038/ nm.2074.,OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Cancer Res 2009; 69:3086-94;  PMID:19293186; http://dx.doi.org/10.1158/0008- 5472.CAN-08-2826.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Cancer  Res 2010; 70:89-98; PMID:19996282; http://dx.doi.org/10.1158/0008-5472.CAN-09-2970.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Clin Cancer Res 2006; 12:2826-33; PMID:16675577;  http://dx.doi.org/10.1158/1078-0432.CCR-05-2431.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Cancer Res 2004; 64:8456-60;  PMID:15548718; http://dx.doi.org/10.1158/0008-5472.CAN-03-3251.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
J Clin Oncol 2008; 26:3445-55; PMID:18612161; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Cancer Immunol  Immunother 2004; 53:17-25; PMID:12955480;  http://dx.doi.org/10.1007/s00262-003-0417-4.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Nat Med  2007; 13:552-9; PMID:17479101; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Cancer Immunol Immunother 2008; 57:1665-73;  PMID:18311487; http://dx.doi.org/10.1007/s00262- 008-0487-4.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
J Immunol 2011; 186:5058-67;  PMID:21430223; http://dx.doi.org/10.4049/jimmu- nol.1004125.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Semin Cancer Biol 2004; 14:161-9;  PMID:15246051; http://dx.doi.org/10.1016/j.sem-cancer.2003.10.002.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
J Immunol 2010; 184:1261-7; PMID:20026742; http://dx.doi.org/10.4049/jimmu- nol.0903050.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
FASEB J 2010; 24:1411- 8; PMID:20008545; http://dx.doi.org/10.1096/fj.09- 147025.,OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Nat Med 2004; 10:950-8;  PMID:15334073; http://dx.doi.org/10.1038/nm1097.,OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Cancer Res  2008; 68:7684-91; PMID:18768667; http://dx.doi.org/10.1158/0008-5472.CAN-08-1167.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
Melanoma Res 2007; 17:169-76; PMID:17505262;  http://dx.doi.org/10.1097/CMR.0b013e3281844531.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
J Immunol Methods 2006; 310:12- 9; PMID:16510151; http://dx.doi.org/10.1016/j.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
J Immunol  2011; 186:6905-13; PMID:21551365; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/85/0d/onci-1-1584.PMC3525613.pdf
