Sentence,class,file
Int J Biochem Cell Biol 2013; 45:1690-700;  PMID:23624144 ; http://dx.doi.org/10.1016/j.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
EMBO Rep 2001; 2:893-8; PMID:11600453 ; http://dx.doi.org/10.1093/ embo-reports/kve208 69.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Nucleic Acids Res 2012; 40:541-52;  PMID:21917851 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Circ Res 2007; 100:305- 8; PMID:17255526 ; http://dx.doi.org/10.1161/01.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Nucleic  Acids Res 2013; 41:7997-8010; PMID :23851566 ;  http://dx.doi.org/10.1093/nar/gkt539 75.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Science  1989; 246:1309-12;  PMID:2479987 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Science 1989;  246:1306-9;  PMID:2479986 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Nature 2005; 438:932-6; PMID:16355210 ;  http://dx.doi.org/10.1038/nature04478,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
PLoS One 2011; 6:e28947;  PMID:22174934 ; http://dx.doi.org/10.1371/journal.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Nucleic Acids Res 2008; 36:2434- 45; PMID:18304943 ; http://dx.doi.org/10.1093/ nar/gkn093 83.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
PLoS One  2012; 7:e45943;  PMID:23029333 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Nature 2009; 457:915-9; PMID:19098893 ; http://dx.doi.org/10.1038/ nature07598 86.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Mol Biol Cell 2007; 18:4648-58;  PMID:17855506 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Mol Cell Biol 2011; 31:4928- 37; PMID:21986500 ; http://dx.doi.org/10.1128/ MCB.06085-1188.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Mol Cell Biol 2008; 28:772-83;  PMID:18039850 ; http://dx.doi.org/10.1128/ MCB.02078-06 89.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Annu Rev Pathol  2008; 3:367-97;  PMID:18039141 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Blood 2005; 105:4642- 8; PMID :15746084 ; http://dx.doi.org/10.1182/ blood-2004-08-3327 92.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Surgery 2006; 139:839-46; PMID:16782443 ; http://dx.doi.org/10.1016/j.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
J Huazhong Univ Sci Technolog Med Sci  2006; 26:562-4; PMID:17219968 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
"Chilov D, Kukk E, Taira S, Jeltsch M, Kaukonen J,  Palotie A, Joukov V, Alitalo K. Genomic organization of human and mouse genes for vascular endothelial  growth factor C. J Biol Chem 1997; 272:25176- 83; PMID:9312130 ; http://dx.doi.org/10.1074/ jbc.272.40.25176 97.",OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Lymphat Res Biol 2008; 6:165- 72; PMID:19093789 ; http://dx.doi.org/10.1089/ lrb.2008.1015 98.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Cancer Cell 2012; 21:181-95; PMID:22340592 ;  http://dx.doi.org/10.1016/j.ccr.2011.12.026 99.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Nat Rev Cancer  2014; 14:159-72;  PMID:24561443 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
"Cellular  miRNAs are aberrantly expressed in many types of human can - cers,5 including liver cancer, cervical cancer, and nasopharyngeal *Correspondence to: Qinong Ye; Email: yeqn66@yahoo.com Submitted: 06/10/2014; Revised: 06/26/2014; Accepted: 06/30/2014 http://dx.doi.org/10.4161/mco.29910Regulation of viral oncogenesis by microRNAs Xiaojie Xu and Qinong Ye* Department of Medical Molecular Biology; Beijing i nstitute of Biotechnology; Beijing, PR China Keywords: microRNA, virus, cancer, gene expression Abbreviations: CHB, chronic hepatitis B; EBV, Epstein–Barr virus; HBV, hepatitis B virus; HBx, hepatitis B virus x protein;  HCC, hepatocellular carcinoma (HCC); HCV, hepatitis C virus; HD, Hodgkin’s disease; HPV, human papilloma virus; miRNA,  microRNA; NPC, nasopharyngeal carcinoma; UTR, untranslated region viral infection may play a causative role in human cancers,  for example hepatitis B virus (HB v) or hepatitis C virus (HC v)  in liver cancer, human papilloma virus (HP v) in cervical cancer,  and e pstein–Barr virus ( eBv) in nasopharyngeal carcinoma.",Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Semin  Cancer Biol 2004; 14:453-71;  PMID :15489139 ;  http://dx.doi.org/10.1016/j.semcancer.2004.06.009 2.,Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Int J Biol  Sci 2010; 6:730-55;  PMID :21152115 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Cell 2004; 116:281- 97; PMID:14744438 ; http://dx.doi.org/10.1016/ S0092-8674(04)00045-5 4.,OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Nat Rev Mol Cell Biol 2005; 6:127- 38; PMID:15654322 ; http://dx.doi.org/10.1038/ nrm1568 5.,OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Nat Rev Cancer 2011; 11:849-64;  PMID:22113163 ;  http://dx.doi.org/10.1038/nrc3166 6.,Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Science  2004; 304:734-6;  PMID :15118162 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Nucleic  Acids Res 2009; 37:1035-48;  PMID:19095692 ;  http://dx.doi.org/10.1093/nar/gkn1004 8.,Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Genes Dev  2011; 25:1881-94;  PMID:21896651 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
CA Cancer J Clin 2005; 55:74- 108; PMID :15761078 ; http://dx.doi.org/10.3322/ canjclin.55.2.74 10.,OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Hepatology  2002; 36:1206-13;  PMID:12395331 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Hepatology 2011; 53:1476-85;   PMID :21520166 ; http://dx.doi.org/10.1002/ hep.24195 13.,Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Gastroenterology  2009; 136:683-93;  PMID:19027010 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Gastroenterology 2007; 133:647- 58; PMID:17681183 ; http://dx.doi.org/10.1053/j.,Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Hepatology 2012; 55:730- 41; PMID:22105316 ; http://dx.doi.org/10.1002/ hep.24809 16.,Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Nucleic Acids Res 2011; 39:5157-63;   PMID:21317190 ; http://dx.doi.org/10.1093/nar/ gkr067 18.,OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Hepatology  2010; 52:60-70;  PMID:20578129 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
"Gastroenterology 2011; 141:378-88,  e1-4;  PMID:21440549 ; http://dx.doi.org/10.1053/j.",Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Proc Natl Acad Sci U S A  2010; 107:264-9;  PMID:20018759 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Gastroenterology 2008; 135:257- 69; PMID:18555017 ; http://dx.doi.org/10.1053/j.,Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
J Gastroenterol Hepatol 2010;  25:164-71;  PMID:19793168 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
PLoS One  2011; 6:e19518;  PMID :21573166 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Rev Med Virol 2014; 24:169-85;  PMID:24591085 ;  http://dx.doi.org/10.1002/rmv.1785 28.,Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
J Hepatol 2009; 50:453-60;   PMID:19144437 ; http://dx.doi.org/10.1016/j.,OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
PLoS One 2012; 7:e43204;   PMID:22912826 ; http://dx.doi.org/10.1371/jour - nal.pone.0043204 31.,Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Hepatology  2009; 49:1098-112;  PMID:19173277 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Cancer Cell 2011; 19:232- 43; PMID:21316602 ; http://dx.doi.org/10.1016/j.,Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
J Hepatol 2012; 56:167-75;   PMID:21749846 ; http://dx.doi.org/10.1016/j.,OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
J Hepatol  2011; 54:1177-84;  PMID:21145831 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Int J Cancer 2008; 123:1616-22;   PMID:18649363 ; http://dx.doi.org/10.1002/ ijc.23693 37.,Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Hepatology  2008; 47:897-907;  PMID:18176954 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
J Biol Chem 2013;  288:18484-93;  PMID:23649629 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
J Med Virol 2013; 85:969-78;  PMID:23532756 ;  http://dx.doi.org/10.1002/jmv.23534 41.,Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
J Hepatol  2012; 56:855-61;  PMID:22178270 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
J Cell Physiol  2008; 216:289-94;  PMID:18302164 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
J Lab Clin Med 2006; 147:58-66;  PMID:16459163 ;  http://dx.doi.org/10.1016/j.lab.2005.10.003 44.,OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Cell Signal  2013; 25:439-46;  PMID:23124077 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Cell Signal  2013; 25:1037-43;  PMID:23376496 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
Antiviral Res 2012; 94:225- 31; PMID:22554933 ; http://dx.doi.org/10.1016/j.,OADS,/arxiv_data1/oa_pdf/3a/e1/kmco-01-01-10929910.PMC4905170.pdf
