URL SURT Directory File Repo Corpus
https://gitlab.com com,gitlab)/ 201907 1907.04002v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 202012 2012.05006v1.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 202012 2012.07371v2.pdf arxiv GitLab
https://about.gitlab.com/analysts/forrester-cloudci19 com,gitlab,about)/analysts/forrester-cloudci19 202012 2012.07380v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/api/graphql com,gitlab,docs)/ee/api/graphql 202012 2012.07380v1.pdf arxiv GitLab
https://www.gitlab.com com,gitlab)/ 201805 1805.01176v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 201805 1805.04473v1.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 201805 1805.04956v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/api/users.html#list-ssh-keys com,gitlab,docs)/ee/api/users.html 201805 1805.04956v1.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 202004 2004.00253v1.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 202004 2004.00348v3.pdf arxiv GitLab
https://docs.gitlab.com/ee/gitlab-basics/add-merge-request.html com,gitlab,docs)/ee/gitlab-basics/add-merge-request.html 201809 1809.06926v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/workflow/workflow.html com,gitlab,docs)/ee/workflow/workflow.html 201809 1809.06926v1.pdf arxiv GitLab
https://www.gitlab.com com,gitlab)/ 202008 2008.01046v2.pdf arxiv GitLab
https://web.archive.org/web/20200217025313/https://about.gitlab.com/blog/2018/07/19/gcp-move-update org,archive,web)/web/20200217025313/https:/about.gitlab.com/blog/2018/07/19/gcp-move-update 202008 2008.07380v1.pdf arxiv GitLab
https://web.archive.org/web/20200627205948/https://investigating-archiving-git.gitlab.io/updates/git-hosting-sanctions org,archive,web)/web/20200627205948/https:/investigating-archiving-git.gitlab.io/updates/git-hosting-sanctions 202008 2008.07380v1.pdf arxiv GitLab
https://about.gitlab.com/blog/2018/07/19/gcp-move-update com,gitlab,about)/blog/2018/07/19/gcp-move-update 202008 2008.07380v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/user/application_security/dependency_scanning com,gitlab,docs)/ee/user/application_security/dependency_scanning 202008 2008.10640v2.pdf arxiv GitLab
https://page.gitlab.com/rs/194-vvc-221/images/the-remote-work-report-by-gitlab.pdf com,gitlab,page)/rs/194-vvc-221/images/the-remote-work-report-by-gitlab.pdf 202008 2008.11147v3.pdf arxiv GitLab
https://about.gitlab.com/resources/downloads/ebook-remote-playbook.pdf com,gitlab,about)/resources/downloads/ebook-remote-playbook.pdf 202008 2008.11147v3.pdf arxiv GitLab
https://gitlab.com/explore com,gitlab)/explore 202009 2009.00564v2.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 202009 2009.08328v7.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 201808 1808.04673v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 201609 1609.00037v2.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 202005 2005.05474v1.pdf arxiv GitLab
https://about.gitlab.com/product/continuous-integration com,gitlab,about)/product/continuous-integration 202005 2005.05756v2.pdf arxiv GitLab
https://about.gitlab.com/is-it-any-good com,gitlab,about)/is-it-any-good 202005 2005.11498v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/api com,gitlab,docs)/ee/api 202005 2005.11498v1.pdf arxiv GitLab
https://docs.gitlab.com/ce/install/requirements.html com,gitlab,docs)/ce/install/requirements.html 202005 2005.11498v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 202005 2005.11498v1.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 201804 1804.05895v2.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 202101 2101.01178v5.pdf arxiv GitLab
https://about.gitlab.com/blog/2019/07/15/global-developer-report com,gitlab,about)/blog/2019/07/15/global-developer-report 202101 2101.02085v1.pdf arxiv GitLab
https://about.gitlab.com/blog/2019/07/15/global-developer-report com,gitlab,about)/blog/2019/07/15/global-developer-report 202101 2101.02108v1.pdf arxiv GitLab
https://www.gitlab.com com,gitlab)/ 202101 2101.07961v3.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 201701 1701.03507v1.pdf arxiv GitLab
https://archive.softwareheritage.org/swh:1:cnt:d552dc18749fbb16249b642cd4f8107c1ce8ff68;origin=https://gitlab.com/makhlaghi/maneage-paper.git;visit=swh:1:snp:ee7cc3bb558c4af703e8de53dd590654c8967663;anchor=swh:1:rev:e4f61544facf8a3bd88c8466e7d3d847544c8228;path=/reproduce/analysis/make/top-make.mk org,softwareheritage,archive)/swh:1:cnt:d552dc18749fbb16249b642cd4f8107c1ce8ff68;origin=https:/gitlab.com/makhlaghi/maneage-paper.git;visit=swh:1:snp:ee7cc3bb558c4af703e8de53dd590654c8967663;anchor=swh:1:rev:e4f61544facf8a3bd88c8466e7d3d847544c8228;path=/reproduce/analysis/make/top-make.mk 202006 2006.03018v2.pdf arxiv GitLab
https://archive.softwareheritage.org/browse/origin/directory/?origin_url=https://gitlab.com/makhlaghi/maneage-paper.git org,softwareheritage,archive)/browse/origin/directory?origin_url=https://gitlab.com/makhlaghi/maneage-paper.git 202006 2006.03018v2.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 202006 2006.03018v2.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 202006 2006.08012v2.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 201807 1807.01772v2.pdf arxiv GitLab
https://about.gitlab.com/features/gitlab-ci-cd com,gitlab,about)/features/gitlab-ci-cd 201807 1807.09440v3.pdf arxiv GitLab
https://about.gitlab.com/blog/2019/07/15/global-developer-report com,gitlab,about)/blog/2019/07/15/global-developer-report 202102 2102.05345v1.pdf arxiv GitLab
https://about.gitlab.com/developer-survey com,gitlab,about)/developer-survey 202102 2102.06251v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 202102 2102.09373v1.pdf arxiv GitLab
https://about.gitlab.com/blog/2019/07/15/global-developer-report com,gitlab,about)/blog/2019/07/15/global-developer-report 202102 2102.10430v1.pdf arxiv GitLab
https://about.gitlab.com/blog/2019/07/15/global-developer-report com,gitlab,about)/blog/2019/07/15/global-developer-report 202102 2102.10432v1.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 201811 1811.01090v2.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 201811 1811.07729v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 202010 2010.02731v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 202010 2010.12908v2.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 202010 2010.14881v4.pdf arxiv GitLab
https://docs.gitlab.com/ee/user/project/merge_requests/merge_request_approvals.html com,gitlab,docs)/ee/user/project/merge_requests/merge_request_approvals.html 201903 1903.08048v1.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 201607 1607.01191v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 201703 1703.09144v1.pdf arxiv GitLab
https://about.gitlab.com/product/continuous-integration com,gitlab,about)/product/continuous-integration 201902 1902.06282v3.pdf arxiv GitLab
https://docs.gitlab.com/ee/api/projects.html com,gitlab,docs)/ee/api/projects.html 202011 2011.07821v1.pdf arxiv GitLab
https://misscausal.gitlabpages.inria.fr/misscausal.gitlab.io fr,inria,gitlabpages,misscausal)/misscausal.gitlab.io 202011 2011.08047v2.pdf arxiv GitLab
https://page.gitlab.com/rs/194-vvc-221/images/the-remote-work-report-by-gitlab.pdf com,gitlab,page)/rs/194-vvc-221/images/the-remote-work-report-by-gitlab.pdf 202011 2011.08130v2.pdf arxiv GitLab
https://about.gitlab.com/resources/downloads/ebook-remote-playbook.pdf com,gitlab,about)/resources/downloads/ebook-remote-playbook.pdf 202011 2011.08130v2.pdf arxiv GitLab
https://about.gitlab.com/press/releases/2020-11-19-gitlab-completes-integration-of-fuzzing-solutions.html com,gitlab,about)/press/releases/2020-11-19-gitlab-completes-integration-of-fuzzing-solutions.html 202103 2103.11518v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 201806 1806.06145v1.pdf arxiv GitLab
https://docs.gitlab.com/ce/install/requirements.html com,gitlab,docs)/ce/install/requirements.html 201806 1806.09739v1.pdf arxiv GitLab
https://about.gitlab.com/is-it-any-good com,gitlab,about)/is-it-any-good 201806 1806.09739v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 201806 1806.09739v1.pdf arxiv GitLab
https://about.gitlab.com/2013/11/14/multiple-critical-vulnerabilities-in-gitlab com,gitlab,about)/2013/11/14/multiple-critical-vulnerabilities-in-gitlab 201806 1806.09739v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/api com,gitlab,docs)/ee/api 201806 1806.09739v1.pdf arxiv GitLab
https://docs.gitlab.com/runner com,gitlab,docs)/runner 202108 2108.04515v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 202108 2108.04515v1.pdf arxiv GitLab
https://urldefense.com/v3/__https:/gitlab.com/l_sim/v_sim__;!!ikrxdwav5bmarq!mfcwgblvrehz1he2qywwv4k0t2wbvtdbikcvknve3kqp171-cudwx509ta3toh-_$ com,urldefense)/v3/__https:/gitlab.com/l_sim/v_sim__;!!ikrxdwav5bmarq!mfcwgblvrehz1he2qywwv4k0t2wbvtdbikcvknve3kqp171-cudwx509ta3toh-_$ 202108 2108.07333v1.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 202108 2108.12383v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/administration/database_load_balancing.html com,gitlab,docs)/ee/administration/database_load_balancing.html 202108 2108.13949v1.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 201909 1909.13772v1.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 202112 2112.02608v1.pdf arxiv GitLab
https://about.gitlab.com/blog/2021/01/04/how-we-prevented-security-fixes-leaking-into-our-public-repositories com,gitlab,about)/blog/2021/01/04/how-we-prevented-security-fixes-leaking-into-our-public-repositories 202112 2112.06804v1.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 201801 1801.04463v4.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 201801 1801.06207v1.pdf arxiv GitLab
https://about.gitlab.com/handbook/engineering/ux/performance-indicators com,gitlab,about)/handbook/engineering/ux/performance-indicators 202104 2104.06908v1.pdf arxiv GitLab
https://about.gitlab.com/2018/10/29/why-we-use-rails-to-build-gitlab com,gitlab,about)/2018/10/29/why-we-use-rails-to-build-gitlab 201905 1905.06782v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 201712 1712.06982v5.pdf arxiv GitLab
https://gitlab.common-lisp.net/mraskin/gen-fof-proof net,common-lisp,gitlab)/mraskin/gen-fof-proof 201904 1904.01079v2.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 201904 1904.04690v1.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 201904 1904.06499v3.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 201904 1904.10066v1.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 201904 1904.10631v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 202105 2105.06552v1.pdf arxiv GitLab
https://docs.gitlab.com/ee/topics/gitlab_flow.html com,gitlab,docs)/ee/topics/gitlab_flow.html 201912 1912.01640v2.pdf arxiv GitLab
https://gitlab.coml.lscp.ens.fr/mbernard/phonemizer fr,ens,lscp,coml,gitlab)/mbernard/phonemizer 201912 1912.07875v1.pdf arxiv GitLab
https://docs.gitlab.com/ce/api com,gitlab,docs)/ce/api 201912 1912.09686v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 201912 1912.09686v1.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 201912 1912.11601v2.pdf arxiv GitLab
https://bioai.gitlab.com/openhi com,gitlab,bioai)/openhi 202001 2001.05158v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 202001 2001.05811v2.pdf arxiv GitLab
https://docs.gitlab.com/ee/ci com,gitlab,docs)/ee/ci 202001 2001.10641v4.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 201908 1908.05986v1.pdf arxiv GitLab
https://www.gitlab.com com,gitlab)/ 201908 1908.08858v1.pdf arxiv GitLab
https://gitlab.com com,gitlab)/ 201908 1908.11459v1.pdf arxiv GitLab
https://gitlab.com/explore/projects/starred com,gitlab)/explore/projects/starred 202109 2109.05843v1.pdf arxiv GitLab
https://gitlab.com/explore com,gitlab)/explore 202109 2109.05843v1.pdf arxiv GitLab
https://about.gitlab.com com,gitlab,about)/ 202109 2109.06808v1.pdf arxiv GitLab
https://archive.softwareheritage.org/swh:1:cnt:570ebb8ffbbbd5682451835677350946cc9c2256;origin=https://gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_camlcase.v;lines=51 org,softwareheritage,archive)/swh:1:cnt:570ebb8ffbbbd5682451835677350946cc9c2256;origin=https:/gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_camlcase.v;lines=51 202109 2109.09451v1.pdf arxiv GitLab
https://archive.softwareheritage.org/swh:1:cnt:6b3b9423e6d47a813139bc079bc0f53afefa2fd3;origin=https://gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_standard.v;lines=147-152 org,softwareheritage,archive)/swh:1:cnt:6b3b9423e6d47a813139bc079bc0f53afefa2fd3;origin=https:/gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_standard.v;lines=147-152 202109 2109.09451v1.pdf arxiv GitLab
https://archive.softwareheritage.org/swh:1:cnt:60c6e8bac6e7d3fe21a7d8d94c14a1354b009a45;origin=https://gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_camlcase_verif.v org,softwareheritage,archive)/swh:1:cnt:60c6e8bac6e7d3fe21a7d8d94c14a1354b009a45;origin=https:/gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_camlcase_verif.v 202109 2109.09451v1.pdf arxiv GitLab
https://archive.softwareheritage.org/swh:1:cnt:37763c65f8d814adab96f09532d08d591ce179e4;origin=https://gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_camlcase_string.v org,softwareheritage,archive)/swh:1:cnt:37763c65f8d814adab96f09532d08d591ce179e4;origin=https:/gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_camlcase_string.v 202109 2109.09451v1.pdf arxiv GitLab
https://archive.softwareheritage.org/swh:1:cnt:6b3b9423e6d47a813139bc079bc0f53afefa2fd3;origin=https://gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_standard.v;lines=285-287 org,softwareheritage,archive)/swh:1:cnt:6b3b9423e6d47a813139bc079bc0f53afefa2fd3;origin=https:/gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_standard.v;lines=285-287 202109 2109.09451v1.pdf arxiv GitLab
https://archive.softwareheritage.org/swh:1:cnt:6b3b9423e6d47a813139bc079bc0f53afefa2fd3;origin=https://gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_standard.v;lines=141 org,softwareheritage,archive)/swh:1:cnt:6b3b9423e6d47a813139bc079bc0f53afefa2fd3;origin=https:/gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_standard.v;lines=141 202109 2109.09451v1.pdf arxiv GitLab
https://archive.softwareheritage.org/swh:1:cnt:570ebb8ffbbbd5682451835677350946cc9c2256;origin=https://gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_camlcase.v org,softwareheritage,archive)/swh:1:cnt:570ebb8ffbbbd5682451835677350946cc9c2256;origin=https:/gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_camlcase.v 202109 2109.09451v1.pdf arxiv GitLab
https://archive.softwareheritage.org/swh:1:cnt:6b3b9423e6d47a813139bc079bc0f53afefa2fd3;origin=https://gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_standard.v;lines=233 org,softwareheritage,archive)/swh:1:cnt:6b3b9423e6d47a813139bc079bc0f53afefa2fd3;origin=https:/gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_standard.v;lines=233 202109 2109.09451v1.pdf arxiv GitLab
https://archive.softwareheritage.org/swh:1:cnt:6b3b9423e6d47a813139bc079bc0f53afefa2fd3;origin=https://gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_standard.v;lines=430-442 org,softwareheritage,archive)/swh:1:cnt:6b3b9423e6d47a813139bc079bc0f53afefa2fd3;origin=https:/gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_standard.v;lines=430-442 202109 2109.09451v1.pdf arxiv GitLab
https://archive.softwareheritage.org/swh:1:cnt:fa5c55c2ffaf666bd981e45213f32457860cc314;origin=https://gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/michocoq/semantics.v;lines=313 org,softwareheritage,archive)/swh:1:cnt:fa5c55c2ffaf666bd981e45213f32457860cc314;origin=https:/gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/michocoq/semantics.v;lines=313 202109 2109.09451v1.pdf arxiv GitLab
https://archive.softwareheritage.org/swh:1:cnt:6b3b9423e6d47a813139bc079bc0f53afefa2fd3;origin=https://gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_standard.v;lines=185 org,softwareheritage,archive)/swh:1:cnt:6b3b9423e6d47a813139bc079bc0f53afefa2fd3;origin=https:/gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_standard.v;lines=185 202109 2109.09451v1.pdf arxiv GitLab
https://archive.softwareheritage.org/swh:1:cnt:6b3b9423e6d47a813139bc079bc0f53afefa2fd3;origin=https://gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_standard.v;lines=113 org,softwareheritage,archive)/swh:1:cnt:6b3b9423e6d47a813139bc079bc0f53afefa2fd3;origin=https:/gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_standard.v;lines=113 202109 2109.09451v1.pdf arxiv GitLab
https://archive.softwareheritage.org/swh:1:cnt:60c6e8bac6e7d3fe21a7d8d94c14a1354b009a45;origin=https://gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_camlcase_verif.v;lines=488-603 org,softwareheritage,archive)/swh:1:cnt:60c6e8bac6e7d3fe21a7d8d94c14a1354b009a45;origin=https:/gitlab.com/nomadic-labs/mi-cho-coq/;visit=swh:1:snp:2e40ba6397bd802a3eaa8ee84ebab385cc070584;anchor=swh:1:rev:f6fbab5abf35945c1ea58a02ffe5c235021b162f;path=/src/contracts_coq/fa12_camlcase_verif.v;lines=488-603 202109 2109.09451v1.pdf arxiv GitLab
